"ProductID","ProductName","Price","StartingInventory","InventoryRecieved","InventoryShipped","InventoryOnhand","MinimumRequired"
"P001","PEN","15","500","35","10","20","10"
"P002","PENCIL","5","620","100","60","300","15"
"P003","STAPLER","25","400","60","80","300","1"
"P004","PAPER","5","150","12","63","20","50"
"P005","PRINTER INK","65","350","55","90","200","1"
"P006","ERASER","15","600","40","98","500","2"
"P007","KEYBORD","690","250","29","80","100","1"
"P008","SCISSORS","35","900","25","10","50","1"
"P009","GLUE","30","50","40","25","50","1"
"P010","ENVELOPE","20","55","6","10","15","5"
